taxon	combined_pct	n_groups_detected	n_groups_total	cv_across_groups	group_1_pct[V1V3_fwdhalf]	group_2_pct[V1V3_revhalf+V3V4_fwdhalf+V3V6_fwdhalf]	group_3_pct[V3V4_revhalf+V4+V4V6_fwdhalf]	group_4_pct[V3V6_revhalf+V4V6_revhalf]	group_5_pct[V5V8_fwdhalf]	group_6_pct[V5V8_revhalf+V6V8_revhalf+V7V8]	group_7_pct[V6V8_fwdhalf+V6V9_fwdhalf]	group_8_pct[V6V9_revhalf]
Oscillochloris	0.0097	3	8	1.823	0.0000	0.0000	0.0122	0.0000	0.0000	0.0146	0.0508	0.0000
Piscinibacter	0.0097	2	8	1.866	0.0000	0.0000	0.0428	0.0000	0.0345	0.0000	0.0000	0.0000
Prosthecobacter	0.0097	3	8	1.609	0.0000	0.0000	0.0000	0.0000	0.0173	0.0170	0.0430	0.0000
Wolbachia	0.0096	1	8	NA	0.0000	0.0768	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Clostridium sensu stricto 7	0.0096	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0764	0.0000	0.0000	0.0000
Phaeodactylibacter	0.0094	2	8	2.273	0.0000	0.0144	0.0000	0.0607	0.0000	0.0000	0.0000	0.0000
Diplosphaera	0.0092	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0740	0.0000	0.0000	0.0000
Oikopleura	0.0092	3	8	1.811	0.0000	0.0000	0.0082	0.0000	0.0000	0.0182	0.0469	0.0000
Chloracidobacterium	0.0091	4	8	1.285	0.0000	0.0000	0.0061	0.0304	0.0000	0.0170	0.0195	0.0000
Pseudorhodoferax	0.0087	1	8	NA	0.0000	0.0000	0.0694	0.0000	0.0000	0.0000	0.0000	0.0000
FukuN57	0.0086	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0690	0.0000	0.0000	0.0000
Sphingopyxis	0.0086	2	8	2.405	0.0000	0.0000	0.0000	0.0000	0.0592	0.0097	0.0000	0.0000
Phormidium SAG 37.90	0.0086	2	8	2.311	0.0000	0.0000	0.0000	0.0000	0.0567	0.0122	0.0000	0.0000
EcFYyy-200	0.0084	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0668	0.0000	0.0000
Labilithrix	0.0083	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0666	0.0000	0.0000	0.0000
Herbinix	0.0082	2	8	2.200	0.0000	0.0000	0.0510	0.0000	0.0000	0.0146	0.0000	0.0000
Nitratireductor	0.0080	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0641	0.0000	0.0000	0.0000
Flavihumibacter	0.0080	2	8	2.534	0.0000	0.0576	0.0000	0.0000	0.0000	0.0061	0.0000	0.0000
Candidatus Omnitrophus	0.0079	3	8	1.732	0.0000	0.0000	0.0122	0.0000	0.0000	0.0122	0.0391	0.0000
[Aquaspirillum] arcticum group	0.0078	2	8	1.919	0.0000	0.0240	0.0388	0.0000	0.0000	0.0000	0.0000	0.0000
Ereboglobus	0.0078	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0625	0.0000
Methylocaldum	0.0078	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0625	0.0000
Anaerobacterium	0.0078	1	8	NA	0.0000	0.0624	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Sideroxydans	0.0078	1	8	NA	0.0000	0.0624	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Chryseobacterium	0.0078	4	8	1.380	0.0000	0.0096	0.0061	0.0000	0.0296	0.0170	0.0000	0.0000
P3OB-42	0.0078	4	8	1.267	0.0000	0.0240	0.0184	0.0000	0.0148	0.0049	0.0000	0.0000
Fluviicola	0.0077	2	8	1.854	0.0000	0.0000	0.0000	0.0000	0.0321	0.0292	0.0000	0.0000
Macellibacteroides	0.0076	2	8	2.174	0.0000	0.0000	0.0143	0.0000	0.0468	0.0000	0.0000	0.0000
Meiothermus	0.0074	3	8	2.359	0.0000	0.0000	0.0041	0.0506	0.0000	0.0049	0.0000	0.0000
Denitratisoma	0.0074	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0592	0.0000	0.0000	0.0000
Luedemannella	0.0073	1	8	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0583	0.0000	0.0000
Spirochaeta 2	0.0071	3	8	1.598	0.0000	0.0192	0.0082	0.0000	0.0296	0.0000	0.0000	0.0000
